question,answer,complete
on display,展示して、陳列して
in order to do,〜するために
in particular,特に
no longer,もはや〜でない
in effect,事実上、実際には
so far,今までのところ、これまでは
far from,決して〜でない、〜にはほど遠い
at least,少なくとも
on the way,途中で
in time,間に合って
on sale,販売されて／特売中で
on purpose,故意に、わざと
to some extent,ある程度
for the time being,当分の間、差し当たり
on duty,勤務時間中で
in a moment,すぐに
at hand,近くに、手近に
in due course,やがて、そのうち
at large,一般の、全体としての
out of control,制御できない、手に負えない
at ease,安心した、気楽な
